SHLAA Ref,Address,Area ha,_something_,Capacity,I&O RAG,Settlement Hierarchy,Green/Brown,Reason,Easting,Northing
3057,"Cottingley Springs, Gelderd Road",7.5,"",196,R,"",Greenfield,"Green Belt site.  The site is not well related to the existing settlement and development would create unrestricted urban sprawl in an isolated location, behind existing employment uses.  Highways concerns re accessibility.",426652,430679
3058,Land North of Dean Beck (Including Cottingley Springs) Gildersome,21.2,"",556,R,"",Mixed,"Green Belt site.  The site is not well related to the existing settlement and development would create unrestricted urban sprawl in an isolated location, to the west of existing employment uses and a gypsy and traveller site.  Development would represent a significant incursion into Green Belt.  Highways concerns re impact on A62/A6120 junction.",426031,430221
3059,Land between Gelderd and M621 Wortley,6.9,"",180,R,"",Greenfield,"Green Belt site.  The majority of the site is part of a cemetery. Redevelopment for residential use here would represent an island site, not related to existing residential development.  Highways concerns re cumulative impact on A62.",426803,430307
3060B,"Gelderd Road/M621, Gildersome",114.6,"",2951,R,"",Mixed,See assessment for 3060.,425830,429690
3061,"Cricket Hill Brow, Gelderd Road, Gildersome",2.4,"",62,R,"",Greenfield,Green Belt site.  Development would not be well related to the existing settlement form and could set a precedent for further sprawl.  Unacceptable site access.,425095,429375
3062,"Harthill Rise, Gildersome",0.9,"",30,R,"",Greenfield,Green Belt site.  The site is not well related to the existing built up area and is in an elevated position.  No existing defensible boundaries and development could set a precedent for further unrestricted sprawl.  No access to site.,424810,429486
3063,"Land north of Harthill Lane, Gildersome",3.8,"",85,R,"",Greenfield,Green Belt site.   No existing defensible boundaries and development could set a precedent for further unrestricted sprawl.  No access to site.,424625,429513
3068,"Valley Road, Morley",2.2,"",58,R,"",Greenfield,"Green Belt site.  The site is isolated with no road access, and totally unrelated to the existing urban area.  The land falls away towards the railway.   Development of this site in isolation would result in an island of development surrounded by Green Belt, within the gap between the settlements of Morley and Middleton.",427577,428603
3069,"Wide Lane/Dewsbury Road, Morley",4.7,"",124,R,"",Greenfield,"Green Belt site.  This is the eastern site of three that adjoin Morley along Wide Lane, and being the furthest from the urban area release of this site alone would result in an isolated development within the Green Belt gap between Morley and Middleton.",428424,427654
3075,"Whiteways, Thorpe Lane, Middleton",6.8,"",178,R,"",Brownfield,Green Belt site.  Site is currently in use as a scrap yard.  Site would  require remedial work before any alternative use could be considered.  In Green Belt terms the site does not relate particularly well to the existing settlement pattern and development of the site would extend the existing built up urban area to the south.,429795,426857
3077A,"Bulls Head Inn, Dewsbury Road",9.4,"",246,R,"",Greenfield,"Green Belt site.  The original site has been split in two as there is a beck running down the centre acting as a natural division.  Site A is set behind the neighbouring residential properties, and there are open fields beyond the site's boundary.  Single access achievable from Rein Road would limit capacity to 200 dwellings.",427249,425608
3077B,"Bulls Head Inn, Dewsbury Road",4.7,"",124,R,"",Greenfield,Green Belt site. The original site has been split in two as there is a beck running down the centre acting as a natural division. Site B is unrelated to the existing settlement.  The site slopes steeply towards the beck making any development difficult.  Development would set a precedent for further encroachment or sprawl.,427082,425364
3078A,"Upper Green Farm, Syke Road Tingley",5.1,"",116,A,Smaller Settlement Extension,Greenfield,Green Belt site.  Site 3078 has been split into A and B.  Site A is well related to the existing settlement and development could constitute a partial 'rounding off' of the settlement.,427453,425184
3078B,"Hey Beck Lane, Wakefield",29.6,"",666,R,"",Mixed,"Green Belt site.  SHLAA 3078 has been split into A and B.  Site B has poorly defined boundaries and includes roads, dwellings, a sports club and St Marys Church and cemetery.  The site relates poorly to the settlement and development would result in a significant incursion into Green Belt, in the strategic gap between Leeds and Kirklees.",427195,424905
3120,"Dewsbury Road, Morley",22.9,"",602,R,"",Mixed,Green Belt site.   The north western side of the site is separated from the existing residential area by a steep cutting with a small beck flowing through.  The eastern side of the site is dominated by employment uses.  The north eastern boundary is tree lined.  Development would represent a significant incursion into Green Belt and set a precedent for further sprawl and pressure for release of adjacent sites to the southwest.,428072,427343
3189,"Bridge Street, Morley",0.3,"",14,G,Major Settlement Infill,Brownfield,Former school site in residential area with expired planning permission for housing  development.  Residential development therefore considered acceptable in principle.,426651,426912
3311,Land at off Gascoigne Road,7.3,"",191,P,"",Greenfield,not within settlement hierarchy,431515,426244
3313,Batley Road,5.7,"",127,P,"",Greenfield,not within settlement hierarchy,429457,423278
3320,"Land off Middleton Lane, LS10 4GY",27.8,"",624,R,"",Greenfield,"Green Belt site.  The site is unrelated to the settlement.  Development would represent a significant incursion into Green Belt of a scale out of keeping with Thorpe on the Hill to the south, and would set a precedent for further unrestricted sprawl.",431484,427299
3372,"Baghill Road, West Ardsley, Morley",1.3,"",40,R,Smaller Settlement Infill,Greenfield,"Designated as N11 - open land on the existing UDP, not within the Green Belt.  Whilst  in considering the UDP, the Inspector conceded that development of some of the N11 land for housing could not be ruled out, the importance of open views across the site was emphasised.  This site is on the brow of a hill which provides views across and into the site.  Development would affect the open character of this part of the wider UDP designation.",427769,424964
3373B,"Haigh Wood, Ardsley",16.4,"",365,R,Smaller Settlement Infill,Greenfield,"Designated as N11 - open land on the existing UDP, not within the Green Belt.  Site 3373 has been split into 3.  Site B is the central valley.  It is important that the openness of the central valley is protected and retained as an attractive local resource. The valley is popular among walkers and cyclists and offers impressive open views.  Should sites A and C be released for development, the protection and enhancement of site B should be ensured.",428055,424998
3383,"Howden Clough Road, Leeds",0.7,"",23,P,"",Greenfield,not within settlement hierarchy,424489,427215
3387,"Geldered Road, Asquith Avenue, Gildersome, Leeds",11.8,"",311,R,Smaller Settlement Infill,Greenfield,"The site is within the urban area, within an established employment area, allocated for employment uses on the existing UDP.  Considered suitable for employment rather than residential use // Allocation changed to 'not preferred' following discussions with Cllr Gruen - site returning to employment allocation. RC 27/11/14",425011,428741
3397,"116 Old Lane, Leeds",0.5,"",19,A,Main Urban Area Infill,Brownfield,Within the urban area.  Pending application for foodstore.  The site is between a foodstore and employment uses and would therefore be most appropriate for employment use.  Highway concerns re residential access through private industrial road. (Also see CFSM023),428734,430231
